repeat_id,sampler_mode,shots,shots_per_basis,chsh,abs_chsh,qber,security_status
1,classical_singlet_sampler,10000,,-2.7858,2.7858,0.0,secure
1,qiskit,,2500,2.8136,2.8136,,
2,classical_singlet_sampler,10000,,-2.8456,2.8456,0.0,secure
2,qiskit,,2500,2.848,2.848,,
3,classical_singlet_sampler,10000,,-2.769,2.769,0.0,secure
3,qiskit,,2500,2.82,2.82,,
4,classical_singlet_sampler,10000,,-2.856,2.856,0.0,secure
4,qiskit,,2500,2.8136,2.8136,,
5,classical_singlet_sampler,10000,,-2.8065,2.8065,0.0,secure
5,qiskit,,2500,2.7728,2.7728,,
6,classical_singlet_sampler,10000,,-2.8195,2.8195,0.0,secure
6,qiskit,,2500,2.8376,2.8376,,
7,classical_singlet_sampler,10000,,-2.7958,2.7958,0.0,secure
7,qiskit,,2500,2.8096,2.8096,,
8,classical_singlet_sampler,10000,,-2.8542,2.8542,0.0,secure
8,qiskit,,2500,2.8448,2.8448,,
9,classical_singlet_sampler,10000,,-2.7597,2.7597,0.0,secure
9,qiskit,,2500,2.8288,2.8288,,
10,classical_singlet_sampler,10000,,-2.806,2.806,0.0,secure
10,qiskit,,2500,2.8192,2.8192,,
